"","Club","Div","GK","F1","F2","M1","M2","M3","M4","D1","D2","D3","D4","B1","B2","B3","B4","B5","B6","B7","Overall","Goalkeeper","Attacking","Midfield","Defense","Bench","LGmeanOvr","LGmeanAtt","LGmeanDef","OvrvsMean","AttvsMean","DefvsMean","homeGF","awayGF","homeGA","awayGA","homeDiff","awayDiff","GF","GA","Diff","LGmeanGoals","GFvsMean","GAvsMean","year"
"581","Rangers","SC0",72,71,71,74,73,73,71,78,74,71,71,71,70,69,69,68,68,68,72.6363636363636,72,71,72.75,73.5,69,67.4545454545455,66.5416666666667,67.5,5.18181818181819,4.45833333333333,6,1.68421052631579,2.31578947368421,1.05263157894737,1.57894736842105,0.631578947368421,0.736842105263158,2,1.31578947368421,0.684210526315789,1.30289961013645,0.697100389863548,-0.0128898635477583,"2018"
"582","RB Leipzig","D1",76,82,78,83,83,81,81,79,76,75,75,78,78,76,75,73,72,72,79,76,80,82,76.25,74.8571428571429,78.3686868686869,78.5,77.4166666666667,0.631313131313135,1.5,-1.16666666666667,2,1.35294117647059,1.52941176470588,1.58823529411765,0.470588235294118,-0.235294117647059,1.67647058823529,1.55882352941176,0.11764705882353,1.39705882352941,0.279411764705882,-0.161764705882353,"2018"
"583","Reading","E1",75,74,73,72,72,71,71,75,73,73,71,72,72,71,71,70,70,69,72.7272727272727,75,73.5,71.5,73,70.7142857142857,71.5530303030303,71.5416666666667,71.4375,1.17424242424244,1.95833333333333,1.5625,1.08695652173913,1,1.52173913043478,1.52173913043478,-0.434782608695652,-0.521739130434783,1.04347826086957,1.52173913043478,-0.478260869565218,1.27626811594203,-0.232789855072464,-0.245471014492754,"2018"
"584","Real Madrid","SP1",85,94,89,90,89,86,85,90,87,85,84,86,84,82,82,81,80,78,87.6363636363636,85,91.5,87.5,86.5,81.8571428571429,79.2727272727273,80.2,78.525,8.36363636363637,11.3,7.97499999999999,2.84210526315789,2.10526315789474,1.05263157894737,1.26315789473684,1.78947368421053,0.842105263157895,2.47368421052632,1.15789473684211,1.31578947368421,1.34736842105263,1.12631578947368,0.189473684210526,"2018"
"585","Regensburg","D2",69,70,67,68,68,67,66,68,66,66,65,66,65,65,65,65,63,63,67.2727272727273,69,68.5,67.25,66.25,64.5714285714286,70.0606060606061,70.4444444444444,69.875,-2.7878787878788,-1.94444444444444,-3.625,1.82352941176471,1.29411764705882,1.58823529411765,1.52941176470588,0.235294117647059,-0.235294117647059,1.55882352941176,1.55882352941176,2.22044604925031e-16,1.37745098039216,0.181372549019608,-0.181372549019608,"2018"
"586","Reims","F2",70,69,68,74,73,72,70,73,72,70,66,69,68,68,67,67,66,66,70.6363636363636,70,68.5,72.25,70.25,67.2857142857143,68.2272727272727,68.15,67.6625,2.40909090909091,0.349999999999994,2.58750000000001,2.15789473684211,1.73684210526316,0.526315789473684,0.736842105263158,1.63157894736842,1,1.94736842105263,0.631578947368421,1.31578947368421,1.36184210526316,0.585526315789474,0.730263157894737,"2018"
"587","Rennes","F1",70,78,73,77,76,74,73,77,76,75,73,73,73,72,70,70,69,69,74.7272727272727,70,75.5,75,75.25,70.8571428571429,76.0409090909091,76.05,75.475,-1.31363636363636,-0.549999999999997,-0.224999999999994,1.10526315789474,1.52631578947368,1.15789473684211,1.15789473684211,-0.0526315789473684,0.368421052631579,1.31578947368421,1.15789473684211,0.157894736842105,1.35921052631579,-0.0434210526315788,0.201315789473684,"2018"
"588","Reus Deportiu","SP2",72,70,68,70,70,70,70,69,69,68,67,69,68,68,68,67,67,67,69.3636363636364,72,69,70,68.25,67.7142857142857,70.7727272727273,70.4545454545455,70.4204545454545,-1.40909090909091,-1.45454545454545,-2.17045454545455,0.952380952380952,0.523809523809524,0.666666666666667,1.33333333333333,0.285714285714286,-0.809523809523809,0.738095238095238,1,-0.261904761904762,1.15367965367965,-0.415584415584416,0.153679653679654,"2018"
"589","Rio Ave","P1",75,75,72,76,74,72,71,77,71,69,69,72,71,70,70,69,68,68,72.8181818181818,75,73.5,73.25,71.5,69.7142857142857,73.3181818181818,73.9444444444444,73.0694444444444,-0.5,-0.444444444444443,-1.56944444444444,1.52941176470588,0.823529411764706,0.705882352941177,1.76470588235294,0.823529411764706,-0.941176470588235,1.17647058823529,1.23529411764706,-0.0588235294117649,1.34967320261438,-0.173202614379085,0.11437908496732,"2018"
"590","Rochdale","E2",65,68,65,67,66,66,65,67,65,64,64,64,63,63,63,63,62,61,65.6363636363636,65,66.5,66,65,62.7142857142857,65.969696969697,65.8333333333333,65.90625,-0.333333333333329,0.666666666666671,-0.90625,1.04347826086957,1.08695652173913,1.04347826086957,1.43478260869565,0,-0.347826086956522,1.06521739130435,1.23913043478261,-0.173913043478261,1.26902173913043,-0.203804347826087,0.0298913043478262,"2018"
"591","Roda","N1",70,70,66,69,68,68,68,69,67,67,66,67,66,66,66,66,65,64,68,70,68,68.25,67.25,65.7142857142857,70.9646464646465,71.0555555555556,70.3611111111111,-2.96464646464646,-3.05555555555556,-3.11111111111111,1.23529411764706,1.23529411764706,2,2.05882352941176,-0.764705882352941,-0.823529411764706,1.23529411764706,2.02941176470588,-0.794117647058823,1.56862745098039,-0.333333333333333,-0.46078431372549,"2018"
"592","Roma","I1",80,84,81,86,84,83,82,84,82,80,79,80,80,78,78,77,77,77,82.2727272727273,80,82.5,83.75,81.25,78.1428571428571,77.6090909090909,78.575,76.9375,4.66363636363636,3.925,4.3125,1.63157894736842,1.57894736842105,1,0.473684210526316,0.631578947368421,1.10526315789474,1.60526315789474,0.736842105263158,0.868421052631579,1.33815789473684,0.267105263157895,0.601315789473684,"2018"
"593","Ross County","SC0",67,67,65,68,66,65,64,69,66,65,64,65,63,62,62,62,61,61,66,67,66,65.75,66,62.2857142857143,67.4545454545455,66.5416666666667,67.5,-1.45454545454545,-0.541666666666671,-1.5,1.21052631578947,0.894736842105263,1.52631578947368,1.73684210526316,-0.315789473684211,-0.842105263157895,1.05263157894737,1.63157894736842,-0.578947368421053,1.30289961013645,-0.250268031189084,-0.328679337231969,"2018"
"594","Rotherham","E2",65,66,65,68,67,66,66,66,66,66,65,66,65,65,64,64,64,64,66,65,65.5,66.75,65.75,64.5714285714286,65.969696969697,65.8333333333333,65.90625,0.0303030303030312,-0.333333333333329,-0.15625,1.95652173913043,1.21739130434783,1,1.30434782608696,0.956521739130435,-0.0869565217391304,1.58695652173913,1.15217391304348,0.434782608695652,1.26902173913043,0.317934782608696,0.116847826086957,"2018"
"595","Salernitana","I2",67,73,72,71,68,68,68,70,70,70,68,69,67,67,67,67,67,66,69.5454545454545,67,72.5,68.75,69.5,67.1428571428571,68.7148760330578,69.7954545454545,68.6136363636364,0.830578512396698,2.70454545454545,0.88636363636364,1.33333333333333,1.0952380952381,1.28571428571429,1.47619047619048,0.0476190476190474,-0.380952380952381,1.21428571428571,1.38095238095238,-0.166666666666667,1.27922077922078,-0.0649350649350648,-0.101731601731602,"2018"
"596","Sampdoria","I1",82,78,75,78,76,75,75,75,75,74,73,74,74,73,73,73,72,71,76,82,76.5,76,74.25,72.8571428571429,77.6090909090909,78.575,76.9375,-1.60909090909091,-2.075,-2.6875,1.89473684210526,1.05263157894737,1.05263157894737,2.10526315789474,0.842105263157895,-1.05263157894737,1.47368421052632,1.57894736842105,-0.105263157894737,1.33815789473684,0.135526315789473,-0.24078947368421,"2018"
"597","Sandhausen","D2",67,72,69,70,69,68,68,71,69,68,68,68,67,67,67,66,66,65,69,67,70.5,68.75,69,66.5714285714286,70.0606060606061,70.4444444444444,69.875,-1.06060606060606,0.0555555555555571,-0.875,1.11764705882353,0.941176470588235,0.882352941176471,1.05882352941176,0.235294117647059,-0.117647058823529,1.02941176470588,0.970588235294118,0.0588235294117646,1.37745098039216,-0.348039215686275,0.406862745098039,"2018"
"598","Sassuolo","I1",82,81,77,77,76,75,75,82,75,74,74,76,74,74,73,73,73,72,77.0909090909091,82,79,75.75,76.25,73.5714285714286,77.6090909090909,78.575,76.9375,-0.518181818181816,0.424999999999997,-0.6875,0.578947368421053,0.947368421052632,1.15789473684211,1.94736842105263,-0.578947368421053,-1,0.763157894736842,1.55263157894737,-0.789473684210527,1.33815789473684,-0.575,-0.214473684210526,"2018"
"599","Schalke 04","D1",84,79,78,82,80,80,79,82,80,77,77,78,77,76,75,75,72,72,79.8181818181818,84,78.5,80.25,79,75,78.3686868686869,78.5,77.4166666666667,1.44949494949495,0,1.58333333333333,1.58823529411765,1.52941176470588,0.882352941176471,1.29411764705882,0.705882352941176,0.235294117647059,1.55882352941176,1.08823529411765,0.470588235294117,1.39705882352941,0.161764705882353,0.308823529411764,"2018"
"600","Scunthorpe","E2",70,68,66,70,69,68,67,67,66,65,65,66,64,63,63,62,62,62,67.3636363636364,70,67,68.5,65.75,63.1428571428571,65.969696969697,65.8333333333333,65.90625,1.39393939393939,1.16666666666667,-0.15625,1.21739130434783,1.60869565217391,1,1.17391304347826,0.217391304347826,0.434782608695652,1.41304347826087,1.08695652173913,0.326086956521739,1.26902173913043,0.144021739130435,0.182065217391304,"2018"
"601","Setubal","P1",69,73,71,73,71,71,71,75,74,73,69,71,70,69,68,68,68,67,71.8181818181818,69,72,71.5,72.75,68.7142857142857,73.3181818181818,73.9444444444444,73.0694444444444,-1.5,-1.94444444444444,-0.319444444444443,1.17647058823529,1.11764705882353,1.17647058823529,2.47058823529412,0,-1.35294117647059,1.14705882352941,1.82352941176471,-0.676470588235294,1.34967320261438,-0.202614379084967,-0.473856209150327,"2018"
"602","Sevilla","SP1",82,82,81,83,83,80,80,81,79,79,79,80,80,79,79,79,78,77,80.8181818181818,82,81.5,81.5,79.5,78.8571428571429,79.2727272727273,80.2,78.525,1.54545454545455,1.3,0.974999999999994,1.63157894736842,0.947368421052632,1.15789473684211,1.89473684210526,0.473684210526316,-0.947368421052632,1.28947368421053,1.52631578947368,-0.236842105263158,1.34736842105263,-0.0578947368421052,-0.178947368421053,"2018"
"603","Sevilla B","SP2",69,68,67,71,70,69,69,69,69,67,64,69,68,67,66,65,65,64,68.3636363636364,69,67.5,69.75,67.25,66.2857142857143,70.7727272727273,70.4545454545455,70.4204545454545,-2.40909090909091,-2.95454545454545,-3.17045454545455,0.857142857142857,0.523809523809524,1.0952380952381,1.76190476190476,-0.238095238095238,-1.23809523809524,0.69047619047619,1.42857142857143,-0.738095238095238,1.15367965367965,-0.463203463203463,-0.274891774891775,"2018"
"604","Sheffield United","E1",67,70,69,70,68,68,66,69,68,67,67,69,66,66,66,66,66,65,68.0909090909091,67,69.5,68,67.75,66.2857142857143,71.5530303030303,71.5416666666667,71.4375,-3.4621212121212,-2.04166666666667,-3.6875,1.43478260869565,1.26086956521739,0.869565217391304,1.52173913043478,0.565217391304348,-0.260869565217391,1.34782608695652,1.19565217391304,0.152173913043478,1.27626811594203,0.0715579710144927,0.0806159420289856,"2018"
"605","Sheffield Weds","E1",75,73,72,73,72,72,72,75,74,73,73,72,71,71,71,71,71,70,73.0909090909091,75,72.5,72.25,73.75,71,71.5530303030303,71.5416666666667,71.4375,1.5378787878788,0.958333333333329,2.3125,1.60869565217391,0.956521739130435,1.34782608695652,1.26086956521739,0.260869565217391,-0.304347826086957,1.28260869565217,1.30434782608696,-0.0217391304347827,1.27626811594203,0.00634057971014479,-0.0280797101449275,"2018"
"606","Shrewsbury","E2",63,64,63,65,65,64,64,65,64,64,62,63,63,63,62,62,61,61,63.9090909090909,63,63.5,64.5,63.75,62.1428571428571,65.969696969697,65.8333333333333,65.90625,-2.06060606060606,-2.33333333333333,-2.15625,1.39130434782609,1.21739130434783,0.739130434782609,0.956521739130435,0.652173913043478,0.260869565217391,1.30434782608696,0.847826086956522,0.456521739130435,1.26902173913043,0.0353260869565217,0.421195652173913,"2018"
"607","Sivasspor","T1",69,74,71,74,74,74,73,72,71,71,71,70,69,69,68,66,66,66,72.1818181818182,69,72.5,73.75,71.25,67.7142857142857,73.8383838383838,73.7222222222222,73.0694444444444,-1.65656565656565,-1.22222222222223,-1.81944444444444,1.52941176470588,1.11764705882353,1.17647058823529,1.94117647058824,0.352941176470588,-0.823529411764706,1.32352941176471,1.55882352941176,-0.235294117647059,1.48039215686275,-0.156862745098039,-0.0784313725490196,"2018"
"608","Sochaux","F2",66,72,70,70,69,69,67,68,68,68,67,67,67,66,65,64,62,62,68.5454545454545,66,71,68.75,67.75,64.7142857142857,68.2272727272727,68.15,67.6625,0.318181818181813,2.84999999999999,0.0875000000000057,1.57894736842105,1.10526315789474,1.89473684210526,1.36842105263158,-0.31578947368421,-0.263157894736842,1.34210526315789,1.63157894736842,-0.289473684210526,1.36184210526316,-0.0197368421052633,-0.269736842105263,"2018"
"609","Sociedad","SP1",83,82,82,81,79,79,79,82,78,78,77,79,79,79,77,77,76,76,80,83,82,79.5,78.75,77.5714285714286,79.2727272727273,80.2,78.525,0.727272727272734,1.8,0.224999999999994,2.47368421052632,1,1.52631578947368,1.57894736842105,0.947368421052632,-0.578947368421053,1.73684210526316,1.55263157894737,0.184210526315789,1.34736842105263,0.389473684210526,-0.205263157894737,"2018"
"610","Southampton","E0",77,79,78,80,79,79,78,83,80,79,77,77,77,77,76,75,75,75,79,77,78.5,79,79.75,76,79.6363636363636,80.25,78.85,-0.63636363636364,-1.75,0.900000000000006,1.05263157894737,0.894736842105263,1.36842105263158,1.57894736842105,-0.315789473684211,-0.684210526315789,0.973684210526316,1.47368421052632,-0.5,1.33947368421053,-0.365789473684211,-0.13421052631579,"2018"
"611","Southend","E2",62,67,66,70,69,66,64,71,69,67,67,67,64,63,62,62,62,61,67.0909090909091,62,66.5,67.25,68.5,63,65.969696969697,65.8333333333333,65.90625,1.12121212121212,0.666666666666671,2.59375,1.65217391304348,0.869565217391304,0.91304347826087,1.78260869565217,0.739130434782609,-0.91304347826087,1.26086956521739,1.34782608695652,-0.0869565217391304,1.26902173913043,-0.00815217391304346,-0.0788043478260869,"2018"
"612","Sp Braga","P1",78,76,75,76,76,76,75,78,77,75,74,76,75,75,74,74,74,74,76,78,75.5,75.75,76,74.5714285714286,73.3181818181818,73.9444444444444,73.0694444444444,2.68181818181819,1.55555555555556,2.93055555555556,2.17647058823529,2.17647058823529,0.588235294117647,1.11764705882353,1.58823529411765,1.05882352941176,2.17647058823529,0.852941176470588,1.32352941176471,1.34967320261438,0.826797385620915,0.496732026143791,"2018"
"613","Sp Gijon","SP2",74,73,72,77,74,73,73,76,74,74,72,73,72,71,71,71,70,70,73.8181818181818,74,72.5,74.25,74,71.1428571428571,70.7727272727273,70.4545454545455,70.4204545454545,3.04545454545455,2.04545454545455,3.57954545454545,1.85714285714286,1,0.714285714285714,1.19047619047619,1.14285714285714,-0.19047619047619,1.42857142857143,0.952380952380952,0.476190476190476,1.15367965367965,0.274891774891775,0.201298701298701,"2018"
"614","Sp Lisbon","P1",83,83,79,83,81,79,78,81,80,77,77,78,78,78,78,78,77,77,80.0909090909091,83,81,80.25,78.75,77.7142857142857,73.3181818181818,73.9444444444444,73.0694444444444,6.77272727272728,7.05555555555556,5.68055555555556,1.88235294117647,1.82352941176471,0.235294117647059,1.17647058823529,1.64705882352941,0.647058823529412,1.85294117647059,0.705882352941177,1.14705882352941,1.34967320261438,0.503267973856209,0.643790849673203,"2018"
"615","Spal","I1",74,78,76,76,75,73,71,75,74,71,70,75,73,73,71,70,69,69,73.9090909090909,74,77,73.75,72.5,71.4285714285714,77.6090909090909,78.575,76.9375,-3.7,-1.575,-4.4375,1.15789473684211,0.894736842105263,1.52631578947368,1.57894736842105,-0.368421052631579,-0.684210526315789,1.02631578947368,1.55263157894737,-0.526315789473684,1.33815789473684,-0.311842105263158,-0.214473684210526,"2018"
"616","Sparta Rotterdam","N1",70,69,68,69,68,66,66,67,67,67,66,67,67,67,66,66,66,66,67.5454545454545,70,68.5,67.25,66.75,66.4285714285714,70.9646464646465,71.0555555555556,70.3611111111111,-3.41919191919192,-2.55555555555556,-3.61111111111111,1.23529411764706,0.764705882352941,2.11764705882353,2.29411764705882,-0.882352941176471,-1.52941176470588,1,2.20588235294118,-1.20588235294118,1.56862745098039,-0.568627450980392,-0.637254901960784,"2018"
"617","Spezia","I2",71,72,71,69,68,67,65,73,71,69,68,70,68,67,65,65,64,64,69.4545454545455,71,71.5,67.25,70.25,66.1428571428571,68.7148760330578,69.7954545454545,68.6136363636364,0.739669421487605,1.70454545454545,1.63636363636364,1.38095238095238,0.80952380952381,0.714285714285714,1.42857142857143,0.666666666666667,-0.619047619047619,1.0952380952381,1.07142857142857,0.0238095238095239,1.27922077922078,-0.183982683982684,0.207792207792208,"2018"
"618","St Etienne","F1",85,76,73,78,76,75,74,83,77,76,74,73,72,72,71,71,71,71,77,85,74.5,75.75,77.5,71.5714285714286,76.0409090909091,76.05,75.475,0.959090909090904,-1.55,2.02500000000001,1.68421052631579,0.789473684210526,1.42105263157895,1.21052631578947,0.263157894736842,-0.421052631578947,1.23684210526316,1.31578947368421,-0.0789473684210527,1.35921052631579,-0.122368421052631,0.0434210526315788,"2018"
"619","St Johnstone","SC0",67,68,66,68,67,66,66,67,67,66,65,64,63,62,62,61,61,60,66.6363636363636,67,67,66.75,66.25,61.8571428571429,67.4545454545455,66.5416666666667,67.5,-0.818181818181813,0.458333333333329,-1.25,0.894736842105263,1.31578947368421,1.42105263157895,1.36842105263158,-0.526315789473684,-0.0526315789473684,1.10526315789474,1.39473684210526,-0.289473684210526,1.30289961013645,-0.197636452241715,-0.091837231968811,"2018"
"620","St Pauli","D2",70,73,72,73,72,72,71,74,71,69,68,70,70,68,68,67,67,66,71.3636363636364,70,72.5,72,70.5,68,70.0606060606061,70.4444444444444,69.875,1.3030303030303,2.05555555555556,0.625,1.17647058823529,0.882352941176471,1.17647058823529,1.64705882352941,0,-0.764705882352941,1.02941176470588,1.41176470588235,-0.382352941176471,1.37745098039216,-0.348039215686275,-0.034313725490196,"2018"
"621","St Truiden","B1",68,69,66,70,69,69,69,71,69,69,67,68,68,67,66,66,66,65,68.7272727272727,68,67.5,69.25,69,66.5714285714286,71.3011363636364,71.1875,71.0625,-2.57386363636363,-3.6875,-2.0625,1.13333333333333,0.8,1,1.73333333333333,0.133333333333333,-0.933333333333333,0.966666666666667,1.36666666666667,-0.4,1.43125,-0.464583333333333,0.0645833333333332,"2018"
"622","Standard","B1",79,74,74,73,73,71,71,74,73,72,71,73,72,71,70,70,70,70,73.1818181818182,79,74,72,72.5,70.8571428571429,71.3011363636364,71.1875,71.0625,1.88068181818183,2.8125,1.4375,1.73333333333333,1.13333333333333,1.4,1.33333333333333,0.333333333333333,-0.2,1.43333333333333,1.36666666666667,0.0666666666666667,1.43125,0.00208333333333344,0.0645833333333332,"2018"
"623","Stevenage","E3",58,63,60,63,63,60,60,64,64,62,60,60,59,58,58,57,57,57,61.5454545454545,58,61.5,61.5,62.5,58,63.2424242424242,63.0625,63.4791666666667,-1.6969696969697,-1.5625,-0.979166666666664,1.82608695652174,0.782608695652174,1.17391304347826,1.65217391304348,0.652173913043478,-0.869565217391304,1.30434782608696,1.41304347826087,-0.108695652173913,1.32065217391304,-0.0163043478260869,-0.0923913043478262,"2018"
"624","Stoke","E0",81,82,77,78,77,77,77,79,79,79,78,76,76,76,75,75,74,74,78.5454545454545,81,79.5,77.25,78.75,75.1428571428571,79.6363636363636,80.25,78.85,-1.09090909090909,-0.75,-0.0999999999999943,1.05263157894737,0.789473684210526,1.57894736842105,2,-0.526315789473684,-1.21052631578947,0.921052631578947,1.78947368421053,-0.868421052631579,1.33947368421053,-0.418421052631579,-0.45,"2018"
"625","Strasbourg","F1",70,73,69,76,75,73,72,75,72,72,71,71,70,69,69,68,68,68,72.5454545454545,70,71,74,72.5,69,76.0409090909091,76.05,75.475,-3.49545454545455,-5.05,-2.97499999999999,1.42105263157895,0.894736842105263,1.42105263157895,2.10526315789474,0,-1.21052631578947,1.15789473684211,1.76315789473684,-0.605263157894737,1.35921052631579,-0.201315789473684,-0.403947368421053,"2018"
"626","Stuttgart","D1",79,77,75,78,76,74,73,76,75,74,73,73,72,71,71,71,70,70,75.4545454545455,79,76,75.25,74.5,71.1428571428571,78.3686868686869,78.5,77.4166666666667,-2.91414141414141,-2.5,-2.91666666666667,1.05882352941176,1.05882352941176,0.529411764705882,1.58823529411765,0.529411764705882,-0.529411764705882,1.05882352941176,1.05882352941176,0,1.39705882352941,-0.338235294117647,0.338235294117647,"2018"
"627","Sunderland","E1",73,72,71,77,75,74,74,76,73,73,72,73,72,71,71,71,70,69,73.6363636363636,73,71.5,75,73.5,71,71.5530303030303,71.5416666666667,71.4375,2.08333333333334,-0.0416666666666714,2.0625,1,1.26086956521739,1.69565217391304,1.78260869565217,-0.695652173913043,-0.521739130434782,1.1304347826087,1.73913043478261,-0.608695652173913,1.27626811594203,-0.145833333333333,-0.46286231884058,"2018"
"628","Swansea","E0",80,79,75,82,77,77,76,79,75,75,74,76,75,75,73,73,73,73,77.1818181818182,80,77,78,75.75,74,79.6363636363636,80.25,78.85,-2.45454545454545,-3.25,-3.09999999999999,0.894736842105263,0.578947368421053,1.26315789473684,1.68421052631579,-0.368421052631579,-1.10526315789474,0.736842105263158,1.47368421052632,-0.736842105263158,1.33947368421053,-0.602631578947368,-0.134210526315789,"2018"
"629","Swindon","E3",64,66,60,67,65,63,63,65,64,63,63,60,59,59,59,57,57,57,63.9090909090909,64,63,64.5,63.75,58.2857142857143,63.2424242424242,63.0625,63.4791666666667,0.666666666666664,-0.0625,0.270833333333336,1.26086956521739,1.65217391304348,1.56521739130435,1.26086956521739,-0.304347826086957,0.391304347826087,1.45652173913043,1.41304347826087,0.0434782608695652,1.32065217391304,0.135869565217391,-0.0923913043478262,"2018"
"630","Tenerife","SP2",75,74,72,74,72,72,71,71,71,70,70,71,71,69,68,68,68,68,72,75,73,72.25,70.5,69,70.7727272727273,70.4545454545455,70.4204545454545,1.22727272727273,2.54545454545455,0.0795454545454533,1.80952380952381,0.952380952380952,0.80952380952381,1.57142857142857,1,-0.619047619047619,1.38095238095238,1.19047619047619,0.19047619047619,1.15367965367965,0.227272727272727,-0.0367965367965368,"2018"
"631","Ternana","I2",63,65,65,68,67,66,63,71,66,65,64,63,62,62,62,61,61,61,65.7272727272727,63,65,66,66.5,61.7142857142857,68.7148760330578,69.7954545454545,68.6136363636364,-2.98760330578511,-4.79545454545455,-2.11363636363636,1.52380952380952,1.42857142857143,1.47619047619048,2.19047619047619,0.0476190476190474,-0.761904761904762,1.47619047619048,1.83333333333333,-0.357142857142857,1.27922077922078,0.196969696969697,-0.554112554112554,"2018"
"632","Tondela","P1",71,71,69,68,68,67,67,72,70,69,67,69,67,67,67,67,66,66,69,71,70,67.5,69.5,67,73.3181818181818,73.9444444444444,73.0694444444444,-4.31818181818181,-3.94444444444444,-3.56944444444444,1.58823529411765,0.823529411764706,1.88235294117647,1.05882352941176,-0.294117647058824,-0.235294117647059,1.20588235294118,1.47058823529412,-0.264705882352941,1.34967320261438,-0.143790849673203,-0.120915032679739,"2018"
"633","Torino","I1",79,83,80,79,79,77,77,79,78,77,76,78,75,75,74,73,73,73,78.5454545454545,79,81.5,78,77.5,74.4285714285714,77.6090909090909,78.575,76.9375,0.936363636363637,2.925,0.5625,1.52631578947368,1.31578947368421,0.947368421052632,1.47368421052632,0.578947368421053,-0.157894736842105,1.42105263157895,1.21052631578947,0.210526315789474,1.33815789473684,0.0828947368421051,0.127631578947369,"2018"
"634","Tottenham","E0",88,86,82,87,84,83,82,86,85,82,81,82,81,80,79,78,78,77,84.1818181818182,88,84,84,83.5,79.2857142857143,79.6363636363636,80.25,78.85,4.54545454545455,3.75,4.65000000000001,2.10526315789474,1.78947368421053,0.842105263157895,1.05263157894737,1.26315789473684,0.736842105263158,1.94736842105263,0.947368421052632,1,1.33947368421053,0.607894736842105,0.392105263157895,"2018"
"635","Toulouse","F1",77,76,75,77,77,75,74,76,76,74,73,74,73,73,72,72,72,71,75.4545454545455,77,75.5,75.75,74.75,72.4285714285714,76.0409090909091,76.05,75.475,-0.586363636363643,-0.549999999999997,-0.724999999999994,1.21052631578947,0.789473684210526,1.10526315789474,1.73684210526316,0.105263157894737,-0.947368421052632,1,1.42105263157895,-0.421052631578947,1.35921052631579,-0.359210526315789,-0.0618421052631579,"2018"
"636","Tours","F2",62,70,69,70,68,67,66,70,67,66,64,68,68,66,65,65,65,65,67.1818181818182,62,69.5,67.75,66.75,66,68.2272727272727,68.15,67.6625,-1.04545454545455,1.34999999999999,-0.912499999999994,1.10526315789474,0.684210526315789,1.78947368421053,1.78947368421053,-0.684210526315789,-1.10526315789474,0.894736842105263,1.78947368421053,-0.894736842105263,1.36184210526316,-0.467105263157895,-0.427631578947368,"2018"
"637","Trabzonspor","T1",77,78,78,79,75,75,75,77,76,76,74,74,74,74,74,73,71,70,76.3636363636364,77,78,76,75.75,72.8571428571429,73.8383838383838,73.7222222222222,73.0694444444444,2.52525252525253,4.27777777777777,2.68055555555556,1.94117647058824,1.76470588235294,1.64705882352941,1.35294117647059,0.294117647058824,0.411764705882353,1.85294117647059,1.5,0.352941176470588,1.48039215686275,0.372549019607843,-0.0196078431372548,"2018"
"638","Troyes","F1",74,74,74,74,71,70,69,73,71,69,69,70,68,68,67,67,67,67,71.6363636363636,74,74,71,70.5,67.7142857142857,76.0409090909091,76.05,75.475,-4.40454545454546,-2.05,-4.97499999999999,0.894736842105263,0.789473684210526,1.15789473684211,1.94736842105263,-0.263157894736842,-1.15789473684211,0.842105263157895,1.55263157894737,-0.710526315789474,1.35921052631579,-0.517105263157895,-0.193421052631579,"2018"
"639","Twente","N1",69,69,68,73,72,71,70,70,70,69,69,69,68,68,68,68,67,66,70,69,68.5,71.5,69.5,67.7142857142857,70.9646464646465,71.0555555555556,70.3611111111111,-0.964646464646464,-2.55555555555556,-0.861111111111114,1.47058823529412,0.705882352941177,1.82352941176471,1.88235294117647,-0.352941176470588,-1.17647058823529,1.08823529411765,1.85294117647059,-0.764705882352941,1.56862745098039,-0.480392156862745,-0.284313725490196,"2018"
"640","Udinese","I1",75,74,74,77,77,76,75,79,74,73,73,75,75,75,74,73,72,72,75.1818181818182,75,74,76.25,74.75,73.7142857142857,77.6090909090909,78.575,76.9375,-2.42727272727272,-4.575,-2.1875,1.26315789473684,1.26315789473684,1.57894736842105,1.73684210526316,-0.315789473684211,-0.473684210526316,1.26315789473684,1.65789473684211,-0.394736842105263,1.33815789473684,-0.0750000000000002,-0.319736842105263,"2018"
"641","Union Berlin","D2",70,71,71,74,73,72,71,75,73,72,71,71,69,69,68,68,68,67,72.0909090909091,70,71,72.5,72.75,68.5714285714286,70.0606060606061,70.4444444444444,69.875,2.03030303030303,0.555555555555557,2.875,1.76470588235294,1.41176470588235,1.11764705882353,1.58823529411765,0.647058823529412,-0.176470588235294,1.58823529411765,1.35294117647059,0.235294117647059,1.37745098039216,0.21078431372549,0.0245098039215685,"2018"
"642","Utrecht","N1",75,75,72,76,74,73,72,72,71,71,71,71,71,70,70,70,69,69,72.9090909090909,75,73.5,73.75,71.25,70,70.9646464646465,71.0555555555556,70.3611111111111,1.94444444444444,2.44444444444444,0.888888888888886,1.88235294117647,1.52941176470588,1.23529411764706,1.88235294117647,0.647058823529412,-0.352941176470588,1.70588235294118,1.55882352941176,0.147058823529412,1.56862745098039,0.137254901960784,0.00980392156862742,"2018"
"643","Valencia","SP1",80,81,80,83,79,77,77,83,79,79,77,78,78,76,76,75,74,74,79.5454545454545,80,80.5,79,79.5,75.8571428571429,79.2727272727273,80.2,78.525,0.27272727272728,0.299999999999997,0.974999999999994,1.89473684210526,1.52631578947368,0.842105263157895,1.15789473684211,1.05263157894737,0.368421052631579,1.71052631578947,1,0.710526315789474,1.34736842105263,0.363157894736842,0.347368421052632,"2018"
