"","GameNum","X","Season","Date","Div","Country","League","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS","HST","AST","HomeOverall","HomeGoalkeeper","HomeAttacking","HomeMidfield","HomeDefense","HomeBench","AwayOverall","AwayGoalkeeper","AwayAttacking","AwayMidfield","AwayDefense","AwayBench","GoalDiff","TotalGoals"
"79",79,756,"2018/2019","2019-05-19 00:00:00","SP2","Spain","La Liga Segunda Division","Las Palmas","Rayo Majadahonda",3,2,"H",11,6,4,4,73.5454545454545,74,75.5,72.75,73.25,71.2857142857143,68.6363636363636,66,68,68.25,70,65.8571428571429,1,5
"5717",5717,7553,"2018/2019","2018-09-01 00:00:00","I1","Italy","Serie A","Parma","Juventus",1,2,"A",8,20,7,10,73.2727272727273,75,77.5,72.75,71.25,72.2857142857143,87,85,91.5,85.5,86.75,83.1428571428571,-1,3
"287",287,964,"2018/2019","2019-05-06 00:00:00","I1","Italy","Serie A","Milan","Bologna",2,1,"H",13,14,5,7,82,83,85.5,81.5,80.5,78.7142857142857,76.5454545454545,76,76.5,76.75,76.5,74.1428571428571,1,3
"2506",2506,3670,"2018/2019","2019-02-02 00:00:00","SC0","Scotland","Premier League","Hibernian","Aberdeen",1,2,"A",6,6,3,3,68.4545454545455,69,68.5,67.25,69.5,64.8571428571429,69.4545454545455,73,67,70.75,68.5,65.7142857142857,-1,3
"15541",15541,19392,"2016/2017","2017-02-03 00:00:00","F2","France","Division 2","Strasbourg","Ajaccio GFCO",2,0,"H",NA,NA,NA,NA,68.1818181818182,63,69,69.25,68,63.8571428571429,69.0909090909091,74,69.5,68.5,68.25,67,2,2
"10956",10956,13873,"2017/2018","2017-10-28 00:00:00","B1","Belgium","Jupiler League","Lokeren","Oostende",0,3,"A",10,12,3,6,69.6363636363636,70,69,70,69.5,66.7142857142857,72.3636363636364,71,71,72.75,73,70.2857142857143,-3,3
"830",830,1606,"2018/2019","2019-04-15 00:00:00","I1","Italy","Serie A","Atalanta","Empoli",0,0,"D",32,2,18,1,77.3636363636364,71,82.5,77.75,76,73.4285714285714,73.7272727272727,71,75,73.25,74.25,71.1428571428571,0,0
"10254",10254,13034,"2017/2018","2017-11-29 00:00:00","E0","England","Premier League","Bournemouth","Burnley",1,2,"A",10,10,2,4,76.5454545454545,82,77.5,75.5,75.75,73.7142857142857,76.2727272727273,81,75.5,75.5,76.25,72.8571428571429,-1,3
"5516",5516,7291,"2018/2019","2018-09-16 00:00:00","I1","Italy","Serie A","Juventus","Sassuolo",2,1,"H",16,10,6,6,87,85,91.5,85.5,86.75,83.1428571428571,76.2727272727273,82,77,76.5,74.25,72.8571428571429,1,3
"15150",15150,18941,"2016/2017","2017-02-17 00:00:00","D1","Germany","Bundesliga 1","Augsburg","Leverkusen",1,3,"A",12,20,4,10,76.7272727272727,80,77,76.75,75.75,73.7142857142857,81.5454545454545,86,81,81.75,80.5,76.5714285714286,-2,4
"1775",1775,2790,"2018/2019","2019-03-03 00:00:00","I1","Italy","Serie A","Spal","Sampdoria",1,2,"A",8,14,2,10,75,76,76,76,73.25,73,76.7272727272727,74,80,77.25,75.25,74.4285714285714,-1,3
"10600",10600,13450,"2017/2018","2017-11-18 00:00:00","E1","England","Championship","Hull","Ipswich",2,2,"D",11,13,4,5,73.2727272727273,74,75.5,73.5,71.75,70.7142857142857,70.3636363636364,74,71,69.5,70,68.5714285714286,0,4
"4583",4583,6197,"2018/2019","2018-10-27 00:00:00","F1","France","Le Championnat","Amiens","Nantes",1,2,"A",18,12,8,5,75.0909090909091,77,76,75.25,74,71.2857142857143,76.5454545454545,79,77,75.5,76.75,72,-1,3
"2372",2372,3515,"2018/2019","2019-02-09 00:00:00","E1","England","Championship","Swansea","Millwall",1,0,"H",15,11,5,3,72.9090909090909,72,75,73.25,71.75,70.5714285714286,70.3636363636364,70,69.5,70.5,70.75,68.2857142857143,1,1
"9799",9799,12506,"2017/2018","2017-12-17 00:00:00","I1","Italy","Serie A","Atalanta","Lazio",3,3,"D",13,13,6,4,77.0909090909091,78,80,76,76.5,72.2857142857143,80.3636363636364,80,79.5,81.25,80,76.7142857142857,0,6
"11375",11375,14369,"2017/2018","2017-10-13 00:00:00","D1","Germany","Bundesliga 1","Stuttgart","FC Koln",2,1,"H",22,17,7,3,75.4545454545455,79,76,75.25,74.5,71.1428571428571,78.0909090909091,84,75,77.75,78.5,75.5714285714286,1,3
"17180",17180,21380,"2016/2017","2016-11-12 00:00:00","E3","England","League 2","Hartlepool","Cheltenham",2,0,"H",13,16,2,2,62.3636363636364,64,62.5,62,62.25,57.5714285714286,61,66,61,62,58.75,57.7142857142857,2,2
"6070",6070,7979,"2018/2019","2018-08-18 00:00:00","E1","England","Championship","Sheffield United","Norwich",2,1,"H",14,11,5,2,72,72,71,72.25,72.25,68.8571428571429,72.4545454545455,73,73.5,72.25,72,70.7142857142857,1,3
"16657",16657,20759,"2016/2017","2016-12-05 00:00:00","SP1","Spain","La Liga Primera Division","La Coruna","Sociedad",5,1,"H",15,14,10,3,77.0909090909091,75,77.5,77.75,76.75,75.4285714285714,79,83,80.5,78.75,77.5,75.7142857142857,4,6
"1705",1705,2705,"2018/2019","2019-03-09 00:00:00","E2","England","League 1","Charlton","Portsmouth",2,1,"H",17,9,4,3,67.3636363636364,66,67,66.5,68.75,66,67.2727272727273,66,69,67,67,65.4285714285714,1,3
"10481",10481,13309,"2017/2018","2017-11-20 00:00:00","T1","Turkey","Futbol Ligi 1","Karabukspor","Kasimpasa",0,2,"A",9,6,2,4,71.2727272727273,73,72,72,69.75,68.1428571428571,71.1818181818182,67,71,71.75,71.75,68.1428571428571,-2,2
"13370",13370,16738,"2016/2017","2017-04-29 00:00:00","E3","England","League 2","Mansfield","Portsmouth",0,1,"A",14,6,5,3,63.8181818181818,63,64,63.75,64,62.4285714285714,65.1818181818182,66,64,65.75,65,62.2857142857143,-1,1
"5331",5331,7069,"2018/2019","2018-09-23 00:00:00","SP2","Spain","La Liga Segunda Division","Reus Deportiu","Gimnastic",1,1,"D",9,13,4,4,68.5454545454545,73,65.5,69,68.5,66.1428571428571,70.2727272727273,69,71.5,69.5,70.75,67.4285714285714,0,2
"13651",13651,17090,"2016/2017","2017-04-17 00:00:00","E2","England","League 1","Charlton","Gillingham",3,0,"H",14,18,7,3,69.5454545454545,71,69,69.5,69.5,65.8571428571429,64.2727272727273,62,63.5,65.25,64.25,60.7142857142857,3,3
"10789",10789,13684,"2017/2018","2017-11-04 00:00:00","I1","Italy","Serie A","Bologna","Crotone",2,3,"A",15,10,5,6,76.1818181818182,80,77,76.25,74.75,73.5714285714286,71.2727272727273,72,70,71.5,71.5,68.5714285714286,-1,5
"17824",17824,22147,"2016/2017","2016-10-15 00:00:00","N1","Netherlands","Eredivisie","PSV Eindhoven","Heracles",1,1,"D",NA,NA,NA,NA,77.3636363636364,79,76.5,77.75,77,74.1428571428571,70,70,71,69.5,70,67.2857142857143,0,2
"2994",2994,4252,"2018/2019","2019-01-12 00:00:00","SP1","Spain","La Liga Primera Division","Leganes","Huesca",1,0,"H",14,9,7,3,75.3636363636364,76,75.5,76.25,74.25,74.5714285714286,73.4545454545455,70,73.5,74,73.75,71,1,1
"5288",5288,7019,"2018/2019","2018-09-25 00:00:00","I1","Italy","Serie A","Inter","Fiorentina",2,1,"H",11,11,3,8,84.2727272727273,88,86,83,83.75,80.1428571428571,76.5454545454545,78,78,75.75,76.25,74,1,3
"18024",18024,22413,"2016/2017","2016-10-01 00:00:00","T1","Turkey","Futbol Ligi 1","Rizespor","Besiktas",0,1,"A",NA,NA,NA,NA,71.1818181818182,68,73,72.25,70,66.7142857142857,78.7272727272727,79,78.5,80,77.5,76.2857142857143,-1,1
"12424",12424,15652,"2017/2018","2017-08-25 00:00:00","SP1","Spain","La Liga Primera Division","Betis","Celta",2,1,"H",10,9,3,2,78.4545454545455,81,77.5,79.25,77.5,73.8571428571429,78.9090909090909,77,80.5,78.75,78.75,74.8571428571429,1,3
"16161",16161,20170,"2016/2017","2016-12-29 00:00:00","E1","England","Championship","Rotherham","Burton",1,2,"A",21,11,9,4,67.8181818181818,70,68.5,67.5,67.25,66,68,66,67,68.25,68.75,66.5714285714286,-1,3
"5922",5922,7819,"2018/2019","2018-08-25 00:00:00","E1","England","Championship","Swansea","Bristol City",0,1,"A",12,10,3,6,72.9090909090909,72,75,73.25,71.75,70.5714285714286,71.3636363636364,69,72.5,71,71.75,69,-1,1
"19064",19064,23659,"2016/2017","2016-08-19 00:00:00","SP2","Spain","La Liga Segunda Division","Almeria","Cadiz",1,1,"D",NA,NA,NA,NA,71.3636363636364,68,71,70.75,73,69,71,70,71,71.25,71,68.4285714285714,0,2
"8522",8522,10956,"2017/2018","2018-02-17 00:00:00","I1","Italy","Serie A","Udinese","Roma",0,2,"A",8,18,3,7,75.1818181818182,75,74,76.25,74.75,73.7142857142857,82.2727272727273,80,82.5,83.75,81.25,78.1428571428571,-2,2
"5324",5324,7060,"2018/2019","2018-09-23 00:00:00","SP1","Spain","La Liga Primera Division","Betis","Ath Bilbao",2,2,"D",15,7,3,4,80.8181818181818,82,80.5,81.5,80,79.1428571428571,79.5454545454545,77,81.5,80.5,78.25,76.2857142857143,0,4
"11564",11564,14615,"2017/2018","2017-09-30 00:00:00","E0","England","Premier League","West Brom","Watford",2,2,"D",9,15,4,3,78.2727272727273,80,78,79.25,77,74.7142857142857,77.9090909090909,82,77,78,77.25,75.8571428571429,0,4
"14335",14335,17949,"2016/2017","2017-03-18 00:00:00","SC0","Scotland","Premier League","Kilmarnock","Partick",1,1,"D",10,14,3,3,65.5454545454545,69,67,65,64.5,60.7142857142857,65.4545454545455,66,65,66.5,64.5,62.8571428571429,0,2
"14850",14850,18576,"2016/2017","2017-02-26 00:00:00","B1","Belgium","Jupiler League","Standard","Mechelen",2,2,"D",NA,NA,NA,NA,73.3636363636364,73,74,74,72.5,71.4285714285714,69.9090909090909,70,69,69.75,70.5,68,0,4
"11485",11485,14508,"2017/2018","2017-10-01 00:00:00","I1","Italy","Serie A","Spal","Crotone",1,1,"D",17,13,5,4,73.9090909090909,74,77,73.75,72.5,71.4285714285714,71.2727272727273,72,70,71.5,71.5,68.5714285714286,0,2
"15056",15056,18820,"2016/2017","2017-02-19 00:00:00","T1","Turkey","Futbol Ligi 1","Besiktas","Akhisar Belediyespor",3,1,"H",NA,NA,NA,NA,78.7272727272727,79,78.5,80,77.5,76.2857142857143,71.5454545454545,69,70.5,72.25,72,69.1428571428571,2,4
"19023",19023,23601,"2016/2017","2016-08-20 00:00:00","E0","England","Premier League","Burnley","Liverpool",2,0,"H",3,26,2,5,75.5454545454545,79,74.5,75.75,75,72.1428571428571,82.4545454545455,82,84.5,82.25,81.75,79.1428571428571,2,2
"4976",4976,6646,"2018/2019","2018-10-06 00:00:00","T1","Turkey","Futbol Ligi 1","Erzurum BB","Alanyaspor",1,0,"H",13,6,4,1,70,65,70.5,72.75,68.25,64.8571428571429,73.1818181818182,69,75,73.75,72.75,69.7142857142857,1,1
"14569",14569,18242,"2016/2017","2017-03-11 00:00:00","E3","England","League 2","Wycombe","Blackpool",0,0,"D",12,11,2,2,63.4545454545455,62,63,63.75,63.75,60,63.3636363636364,62,63,63.75,63.5,61.4285714285714,0,0
"5374",5374,7117,"2018/2019","2018-09-22 00:00:00","E3","England","League 2","Stevenage","Grimsby",1,0,"H",18,6,5,0,62.3636363636364,60,63,62.25,62.75,58.2857142857143,62.8181818181818,63,63,63.25,62.25,59.1428571428571,1,1
"8212",8212,10569,"2017/2018","2018-02-26 00:00:00","SP2","Spain","La Liga Segunda Division","Tenerife","Lugo",3,1,"H",18,12,8,2,72,75,73,72.25,70.5,69,69.6363636363636,69,70.5,70.25,68.75,67.5714285714286,2,4
"5775",5775,7624,"2018/2019","2018-09-01 00:00:00","D1","Germany","Bundesliga 1","Hoffenheim","Freiburg",3,1,"H",20,9,7,4,79.6363636363636,83,77,79.75,80,76.2857142857143,75.0909090909091,77,77,74.25,74.5,72,2,4
